label,text
identity-based,للاسف عقليتك السيءه خلتك تفكر صح حسستني انه فهد بن نافل اسياء ثلاثه دوري
identity-based,حتي اسوء ظروف تشيلسي والله اخاف وضيع لندن مباراه ضد توتنهام تعني نقاط مضمونه هاتووهم
racisme,محل الامارات والبحرين الاعراب مجر نكره
racisme,فعلا حاصل اش ظنك لانهم سلموا دقونهم وباعوا فالكضيه واشتروا فطبيعي صاروا خرفان للصهاينه
religion_hate,يبدوا ان بيان الشيخ الجليل ضرب القرده والخنازير مقتل حفظ الله شيخنا العظيم وامد عمره والعزه للاسلام
identity-based,سمعك قال جاب بطوله اسيا الدوري مرات متتاليه سمعني صياحك
identity-based,وين توصل قدام ستجد استقبالك اذا ترجع ستجد ذولاك مسنترين حفره
racisme,وطنك عيال عمك بكيل وحاشد بو يمن اما حضرموت مالبوكم شي الا الموت الحمر والشيول
racisme,المصريين تاج راسك الجويتي ابلع لسانك واسكت او تقول خيرا
identity-based,اكيد محد يناقشك مرفوع عنك القلم كرويا
racisme,تنصحين الناس بدويه تستشرفين عليهم تقولين الزني حرام ابييكي تنصحين زبيي وتترجينه يتوبب وانا ساحب نقابك وافرك خيصاي بفمييك ولسانك طويل ماتسكتين ياقيحبيه واتفييل بوجهكك تنبيح بدون حدودد بوجها سنابي
gender_hate,وقفو تجيبون افتراضات غبيه يعني غصب اوريكم اني منجذبه لذكور باي طريقه انا كارهه لهمهذا والحمير الي عددهم وحاطين لايك جدا اغبياء بشكل فضيع
racisme,الله لايوفقك انت وجهك يالهندي يابووزره انقلع
identity-based,موجعين قلبك وحارقينه الطواقيماجد عبدالله ماخذا حقوقه تبي غيره ياخذها عصابه حراميه بعذر ربي مايوفقهم
identity-based,الهلال ياخذ ثاركم اليوم لان مايرد الثار الرجال انا يوم شفت عيونك المتدفنه وانا غاسل يدي
identity-based,مطرود دور وتبي بيلنجهام
racisme,اعتقد زم الشعب الجبان ده يدوق الي عملو
racisme,مجروحين الهنود مره خصوصا اليمنه والشوام والمصريين
identity-based,ايه ماله لايم دام رغم الدعم الي حصل صفر كاس اسيا ان شاءالله يفوز الهلال بالقب والدوري للشباب خل الهياط
racisme,بحياتي ماشفت اتفه واغبي واحمق شعب بريطانيا
identity-based,ابشر بمنصب وحداوي الفقر قريب
identity-based,الفقراء لانه شعوور زق ومو ضامنين انه يقدرون يرجعون المبلغ وكلشي يعور
identity-based,دام اسمه رينالدو اجل الطواقي صارت طيواقي
racisme,بهذا المنطق يمكن ان نقول ان شرقكم تابع للجاره تونس ان ناس شرقكم لهجه تونسيه طلعوا المستوي شويه
identity-based,جزمه بيتروس لاحقوها مكان حتي الجزم شقته فحصوها تبيهم يتابعون تاليسكا
identity-based,هادا يمكن افضل توقيت للعمليه ويارب اليوم بالذات تكتر العمليات وفطايس الصهاينه
identity-based,هه شف انتم اكثر ناس استفدتوا التحكيم وياما اخذتوا بطولات تستحقونها بسبب التحكيم والحين جاي تتكلم عنه وجه استح استح استح
racisme,تهاوشوا عنزه وروله ديربي الفقع
racisme,المتجوبنون الحضارم اعطاهم رشاد العليمي كف جاءو ينبحوا علي الحضارم جبناء يقدروا يردوا
identity-based,ليه خير فرارجيه الارض ميحطوش قاءد خط فراخ ويعملو مزارع فراخ بدل الاستيراد بلد عندها ازمه حاده الدولار
racisme,مالك يابنت سلطح بابا عوجا بوقك ليه تلاقيكي الشرابيه دي مصر كلها اوضه وصاله اهدي ياما
racisme,شدخل الجنوب القرص اكلت العتبان والمطران
identity-based,فقراوي الغرسه باقي تعور طيره
identity-based,نادي الدنفسه اموره كلها بربسه دنبشه
identity-based,الرجال يهرج طقاقه شدخل الرقاصات زعلانات غريب حتء موزنبيق غريب امرهم
identity-based,يجب دك المليشيات الانتعالي والحوثه
identity-based,عاجل الرياضيه خالد الطريس حكما للقاء وضمك لازم الاستعانه بصديق رغم وجود افضل لاعبين اجانب مسموح اجانب اكثر غيره صدق سماه طقوع اسيا رءيسهم السويلم يقول النادي اللي يفوز محليا يخسر خارجيا ان حمير جحا تصفق يقصدهم
identity-based,اقذر اعلام الفطاير المتلون بخشم الريال تجيبه
identity-based,استغلال شهر رمضان اعظم الاشهرللربح شعب يعرف المقاطعه التجار الفجار النار
racisme,انتو الاصل التاريخ اصفهان جيتو يعني ايران اذا حابب تعرف اصلك ابو اصل انت
identity-based,قذورات اوراوا وصلوا لمرحله تحمد ربك وتشكره انك مالك علاقه معهم نهاءي
identity-based,عرقله العالمي اي عالمي تتكلمون عنه الهلال ابو خرقه ترا مرشح مو عالمي بصدق تري ترشيح بخرقه
religion_hate,لعنه الله عليهم هالشيعه الزواني
appearance-based,يعني انتي عمياء حماره اقري وش مكتوب
religion_hate,انسان كافر منحط جبان
racisme,هه ليش انتم ماهو عملكم الفتن والسخريه والقتل وراء الحجاب او بالوكاله حتي اردتم فعل يقوم البشر الازمات الزلزال سرقتم لاتعملون شيء للخير ابدا يقال عنكم سوريا عندما يموت احد الندب يارب ليش اخذته عمره ماعمل مليحه عمره مانصح مسلم
racisme,انتوا مشوفتوش حر تعرفوا حر ياطعميات
religion_hate,شو عم يعمل الفطيسه بسوريا مجاهده هيك تعلمتو نهج الولايه بالشتم الكفر
identity-based,حقيقه وانت حتي اسيا ماتعرفك الحقيقه انك صغير يلو
racisme,انا ماشوف البدو رياجيل عندك اعتراض يابدوي تعال خاص
racisme,انت حمار كلب الان يوم يصحح الشيخ الفاضل بكل ادب واخلاق ايه القران الكريم تقول عنه حاقد والا تبغي تفسر القران علي كيفك ياذنب ايران
identity-based,حتي الكذب وفاشلون المعارضه السادجه قدمت الجزاءر معاونه للسوريين فاقمتم الدنيا ولم تقعدونها واساتم لكل الحزاءريين بالسباب والشتاءم هدا استفز الشعب الجزاءري برمته فدافع نفسه عليكم ففضحكم امام العالم بداتم حرب تشويه ضد الجزاءريين النتيجه عكسيه خسرتم
identity-based,يلا داهيه ربنا يريحنا هزازي الرءس قناه الزمالك كمان
appearance-based,ميلانو ماخليتهاش تبوسني لخاطش فمها كبير وفايح
racisme,جدك ليوطي مذكراته ينعت المغرب بالامبراطوريه المترسخه التاريخ اما الجزاءر بزريبه الاتراك والاجمل انه قال ان جمع المعلومات الجزاءر اسهل جمع البيض يعني كنتم تحترفون الوشايه وتقواديت اجل ارضاء الفرنسيين تسقطون بلاياكم علي الغير ابناء فرنسا
identity-based,الله يكون عون سيواجه خصما مدعوما التحكيم الحكم المجرم الطريس الحكم لايخسر معه الفقر وحسبنا الله ونعم الوكيل لذلك علي لاعبي وايقاف اللعب ومناقشه الطريس اول باول لكشف جريمته امام الملا
racisme,حاط ان بروناي اشاعره احا
identity-based,يالله انك تخزيه راعي سالفه زقها شره اتحادي سالفتك بريال
identity-based,اللي انتي بتتهميهم بالسرقه خلوكي تلعبي مرتين دوري الابطال وانت ملكش حق المشاركه وتكسب بطولات مكانش انت عمرك هتكسبهم بيشارك فريقين زي النظام الحالي فبلاش جو الشبحنه انتم مفضوحين ايام ماكان رءيس الزمالك رءيس اتحاد الكوره وزير الدفاع اسكتي عشان هتغاشم عليكم
identity-based,مشكلتك انت وهذا اعلامك وهذا طرحه اليوم انكرته الله الظهير تم اسقاطه كشوفات النصر بسبب الاصابه وبعد اسبوع بقدره قادر مافيه اصابه والغلط التشخيص مدري تتعالجون طبيب شعبي تاليسكا راقد شهر مالعب وين جته الاصابه هه جمهور تبع المريسل الراص
racisme,المصاريا يتشاطرون بطواله اللسان يحسبون الناس ماتقدر عليهم المذيعين والصحفيين والمهبل زي جتهم مواقع التواصل فرج وشهره مايدرون انهم زباله الغيره والحسد اللي مالي قلوبهم اللهم زدهم غل وحسره
racisme,حلم جزاءريه ان ترد عليها سعوديه لذلك الجزاءرين يخضعون للسعودين ضدا فالمغرب كانت الجزاءر رجال لحروو جماجم اجدادهم فرنسا
religion_hate,الخلوق البليهي حمله ضده وواضح المنشن اقصد وصلت فيهم يوقفون المجوسي الخطا مانقول الا الله لايعمي بصايرنا
racisme,ماشفناك تتكلم ساقطي بلدك
identity-based,حول قوه الا بالله حسبنا الله ونعم الوكيل ويقولك الجيش حمي البلد اللي ضيعها حاميها حراميها
racisme,طيب المرحله مصيريه كلموا اصحابكم البراغله يتجنبوا تجريح الجنوبيين
racisme,طفران انت بتعزمني علي كليجه يالقصمنجي
racisme,حتي البيع شحاتين الصينيين
identity-based,تجزء التاريخ علي كيفك انت جب المواجهات كامله تلقاني معطيك علي قفاك بكل بموسم
religion_hate,روافض انجاس كفار ترجوا منهم
identity-based,وشهد شاهد اهلها انتو مو مال حكم انتو مال لطم
identity-based,حضرتك بتتكلم الاهلي صن دوانز الاهلي ملعبش ببصله كويس ايه دا منظر
identity-based,التجار العالم يسوون خصومات دولهم بمناسبه الاعياد الا الجعاصه اللي عندنا مفروض نقاطعهم ونتسوق اونلاين
identity-based,اتركو الكذب عنكم ولاعبكم موقوف الاتحاد السعودي بقرار معلن سالفه مصاب هاذي كذبه القرن
identity-based,الموت للصهاينه والاهم
identity-based,استغفر الله اخوج انتي التبعيه ال ابي طالب انزه ان شخص مثلج يصف نفسه بقربه منهم اتقي ربج مجرد مهرجه اعلاميه بكروتج يوميه بحزب تبعي
identity-based,واش انتي شويه لاباس بشنو اعترف قال بالحرف انه كانو سهرانين شربو كحول بغات تروح معاه الفندق بارادتها اكد سعد انه اغتصبهاش ياما مشاهير بباريس اتعرضو للابتزاز السيده باغا تعويض ضخم لانه جاتها فرصه تنقدها مهنتها المعفنه بالملاهي الليليه كراقصه عري
racisme,حبتج الجاموسه اكثر ناس يغثون
identity-based,احداث شبوه الكل صف الانتقالي بحجه طرد حزب الاصلاح شبوه وحنا نقلهم مايصلح يادنق مايصير يافتالين وهم مصدقين الكلام شبوه وقبايلها مرتكز اساسي تحافظ علي الوحده ماصدقو الحين يوم وطلع الخبجي يهددهم بقلب الطاوله عدن حفظك الله محمد صالح بن عديو
identity-based,اللي عرف يتعامل معكم حمدالله عطاكم علي جوكم بعدها مافي الا يعلمك وضعك
religion_hate,انت اكبر خراط شفته بحياتي نقول القبله تقول القبله يسار الرسول بمعني الحديث تعب وامر عمر وعلي يظهرون عنده حسبنا كتاب الله باب ارفاق بالرسول حسن نيه لاكن الشيعي صامل انو عمر وعمر خذلك كتبك اقرار ابا بكر وعمر بالخلافه
identity-based,ثبااححو ليله الديربي اسوا كوابيسك
identity-based,زمان وانا بقول البلوجرز دول مقرفين احنا اللي عملنا لناس زي دي قيمه يعني ايه معلش انصدمتي شخصيته نبي ماحنا اللي مكبرينهم عالفاضي واحنا بطبيعتنا كشعب بيمشي ورا اي تريند نحب نجرب اللي بنشوفه مجربناش متبقاش دي عيشتنا وواو الواد البلوجر او البنت دي جامده ربنا يهدينا
racisme,عدد المتابعين مشكوك امره لاحظت ان واحدا فقط المتابعين صفحتي يتابعه الاخرون اعرف واحدا منهم فالارجح انه حساب مدعوم عبله الكرغلي
identity-based,ترجمه ونقل كذب اعلامي هيلالي
racisme,قال لبناني او سوري مشكلتكم تتفاخرون منقصه تحسبون انفسكم اخيار العالم منكم بدات فتنه
religion_hate,هاذولي معترضين علي التوحيد اهله يبغون خزعبلات المجوس قبور شرك زواج متعه شغلتهم عداء لسنه مسلم مدري
racisme,قباءل متناحره تمضغ القات وتخرج اداره العقل
identity-based,اتركوا الاتحاد ركزوا علي دوري يلو عشان تصعدوا لدوري الكبار صحن البقلاوه اللي تطقطقي كنتوا تحلموا وقتها اذا مو عاجبك تذكري الكاس الفضي المظفر خذي راحتك البلع
identity-based,الادمي حل طب للاسف النصراويين انجرفوا خلفه افكاره السقيمه
racisme,اجدادك كانوا يعبدون القطط وفرعون قال انا ربكم الاعلي ياعم ماتروح وتريحنا
identity-based,مش غريبه انو داعمي احزاب الفساد يحكو هيك حكي طلع قاضي عندك يفتح ملفات جبران او سدو
appearance-based,بنوكل والا ينشرب يالحولا
identity-based,حلمت اننا خسرنا الدحيل اعوذ بالله وش هالحلم الخايس
racisme,طيب تعال امسك بنات دولتك يرقصون عندها
racisme,الحين العربيات يروجون للقرف
racisme,يوك كانوا حفاه عراه كلام مسءولينكم
racisme,شوف ايش عملو اليمن بعران الخليج واسكت
racisme,خريطه كوكل الجزاءري هه اش جدكم شي ارض
identity-based,المفروض يعاقب مباريات الدكه يظن نفسه مرادونا عاهه لافرق بينه وبين توريس وفاتي ديمبيلي يصبحون دكه وديمبوز ليفا فالهجوم بخطه
identity-based,القواطي مضغوطين تحس انه جايهم جرب
identity-based,باين التغريده انك ماتتربص ابدا نزيه بالتوفيق للعالمي ولاعزاء للمتربصين والمتعصبين
racisme,الجزاءر رجال لحررو جماجم اجدادهم متاحف الفرنسيه
identity-based,اللي يقول امبابي يستحقه غبي والله ارمي اي رقم علي سحبته علينا فيني الاحق اللي حسم مباريات كثيرر الموسم الماضي وكان موجود اوقات الحسم وتجي تقول امبابي احق اقسم بالله ضحك
racisme,كويتي يدري عنكم هه شعب يتلزق مره امارات مره كويت هه
identity-based,اخر صيحه تم استحمارهم بطوله اسيا مهمه فاءده الا شاهت الوجوه
gender_hate,مره تقولين خلاص بعقل وبصير محترمه اللي فخوذك يرجع يطلع العهر اللي ويخليك تجين تويتر وتتمقحبين وتدورين اللي يريحك وتطلعين عهرك عنده وتخلصين وترجعين تبين تسوين شريفه وماتقدرين كلامي صح تعالي سناب زز
identity-based,اصلا احد طق خبر انت واياه اي يسقط علي الاهلي لايشرفنا
racisme,منشغل بالمغاربه تحريض تشفي انشغلت بمجانينكم اولي جنوون بيت الله الحرام معتمرين فكيف بفساقكم نصف الشعب بحاجه لتربيه خبره عقليه
racisme,ده كسم المجتمع شايفه حلو
identity-based,انظر كیف كذبوا علي انفسهم وضل عنهم كانوا یفترون شلون نهدي الي كذب علي نفسه وصدق كذبته سفيه يشوف حبوب الطب النفسي المركبات ركبها البشر اكرم صنع الله الطيب الي انبته الارض عيب تتسمون عاقلين عار علي العقول كلها
racisme,التنسيق العسكري اسراءيل المغرب ارعب الكراغله وجعلهم يستنجدون بماما فرنسا
identity-based,يخرب بيت الفضيحه قابلناهم وهزمناهم
racisme,شعب جبان صدك امريكي مايدري صيرفات
racisme,انشغلي بهبوط الجنيه تروح طعميه اليوم يكثر
racisme,يالغبي جندكم انتم موالي يعني عييد العرب العييد ندخلهم حروب الا خدم يعني تحد اليف او تسقي الخيول وتطبخون حدكم
appearance-based,بتردوا علي لهل طويل الهبيل زبلوا
identity-based,ابو سعد ماكله معاهم الخدم تصريح الصقري لانه فضحهم قدام الله وخلقه فنصيحه لاترد لاتنزل للقاع خلك عهدناك دايم عالي وهذي عوايدك
identity-based,بلكت شويه متزملكين حالا لايشرفني وجودهم
identity-based,اللي قاهرك يوم يقول اعيانها يعني اعيان الحاره ابوهم مجنسين
identity-based,عقيده الجيش الجزاءري للاسف
identity-based,رحم الله خالك انه علمك الابتعادعن العالمي الاول وجماهيره واعلامه الحقدالدفبن فيك والله يتولاك
racisme,وربي السبب الرءيسي الشعب كله متمبل يتفلوا باي مكان
racisme,والله نفسه الرخيصه نساء المجتمع العرب يالاسلامي عزيزات كلهم ينخطبون موافقتها موافقت الاهل شرطط المهر اما الغربيات تفضي ترميها حرفيا سلعه نكره حتي المستشرفه عندهم رخيصه ينحسب حساب ماهو بنات الشيوخ انتي اختاري قدرك
identity-based,والله قاهركم مره شمت علي شان تكرهون الزعيم تحاولون تشككون شيء يفوز كانه مدري حققتم الدوري حد بيتنازل يجاكركم علي شي فات
identity-based,الشارقه الدوري الاماراتي جلدكم
identity-based,لانه بطل وقاهركم لابد تبي خسارته
identity-based,مافيه اصابات بالنصر كذب وتزوير تاليسكا عنده حفله وراح وراء خشومكم ماشاوركم لانه الكيان وفوق القانون
appearance-based,هه وين تيشيرت عمتك احول انت
identity-based,شجع الكوكب وترك النصر انك نوعيه المتحلطمين
identity-based,الانديه الي لعب معها وضيعه
identity-based,ده حكم العسكر اللعين بيقتل اي ابداع او تطور فكري
identity-based,جمهور الرجاء الجمله يقول خاوا خاوا الجزاءر ويتهم الوداد بانهم يهود الجهل يفعل بصاحبه
identity-based,الفساد بنادي النادي ومنظومته معروف وعلي عينك تاجر دمر الاتحاد بايام منصوري البلوي اللوبي الهلالي نادي الهلال والفساد وجهان لعمله واحده
identity-based,الطقوع طقوع اسياء وانت تعرف اللي فشلنا بكل المحافل
identity-based,عندنا جمهور الخيل ياشقراء امثال اعمي الكلاب اذا نبحت الكلاب نبح مثلها ماهو داري علي ايش
identity-based,صدقني دامك تبع مااحد ينظر لانك مجرد مزود نقاط ولاعبين للفرع انت تكمله عدد بالدوري فقط اعظم بطولاتك الفوز علي العالمي والتصريح بعدها
racisme,الاسقاط النفسي المروكي خليه عندك نعرفوكم تعايرو الناس بالنقص والهم والمزيريه ديالكم
identity-based,الله يفك النصر منك واشكالك تغريداتهم الغير موفقه والغرض التهييج وزياده المتابعه اتركوه يانصراويين علي شاكلته
identity-based,مثلك عجزت القي جواب يتداولون مقاطع الصندقه تسيء للهلال ليل نهار وكانهم جزء قطيع تم توظيفه لهذه المهمه
identity-based,والطرف التاني موناكو ديه حصلت مره سنه يعني استثنا الطبيعي بتاع البطوله وفوق ده تلاقي الفلوس اللي بتروح لاي فريق قليله وفي الاخر يقولك الفرق الصغيره وقصه الصعود وكلام هري السوبر ليج مستقبل الكوره الفلوس واللي يلحق بقي كده كده الصغيرين مدعوسين علطول
identity-based,اعلام القوطي يجب التعامل معه
identity-based,ابو بدر الله يعينك علي اللوبي الاصيفر والله الاحصاءيه فاضحه وتظهر حجمهم الحقيقي الان سيطعنون ويشككون وسيتهمون التحكيم واللجان والكلام الفارغ الذ اعتدناه منهم
racisme,ولسه هنزل اروح محافظه القاهره اشوف الاشكال الوسخه اللي يارب انا تعبت
identity-based,اللي علي راسه بطحي يحس حس عليها عاداتكم وتقالديكم تشجيع الفرق الاخري
identity-based,المعتوه فاتي جديد مصاب واحتماليه غيابه مدريد بكاس الملك كبيره اسطورتهم القادمه ومعطينه رقم ميسي عبالهم ميسي بيبعث جديد يالله يالضحك اقلعوه الله لايرده هالييد
identity-based,ارداله عواطليه العطاله ديل يتصرفو وبن
identity-based,فقير شي يستاهل ان شاءالله اقضبوه عشان يعرف يستضرف حتي الكويتي يتجرا يسويها
racisme,تجاره الكضيه مازالت مستمره اجل الشحاته
identity-based,حوامير تويتر يبحثون عدد متابعين ورتوبت همهم النصر شي طنشوهم جماهير النصر العاشقه ماضر العالمي نبح الكلاب
identity-based,حسبي الله ونعم الوكيل علي متصه
racisme,لبس بناتكم فاسخ لبس السعوديات كله تراثي ساتر بعدين وش يفرق بالشارع او بالمدرسه
racisme,مسوي متاثر البرتقالي وهم خاربين الدنيا بالاقصي حول الاقصي
racisme,هاد الحمله ناضت بداو الناس كيتشكاو العناطز حنا لحمنا كيتشوك كنتفقصو عنطيز يحي لبلادي يقيل يغيصب المغاربه الناس مخلوعين زايدينها بتخراج العينين كيقولو ان افريقيا سود اما الامازيغ اوربيين العرب جاو جزيره العرب بحث علي تفهم كثر
racisme,زريبه بوسبير يوم تثبت بلي تلم المعقدين والمرضي النفسيين حاجه اسمها الجزاءر
religion_hate,موضوع بيننا احنا المسلمين انت حطب جهنم تتدخل بيننا
identity-based,حساب نادي ضمك عبر تويتر غلط ياهو مو الله يفشلك
identity-based,اللي علي المدرج يتفرج خلك مباراه البس فنيله قوطي
gender_hate,داءما واجبك انك تقدمين جسدك اجل ارضاء سيدك واجباتك الطبيعيه كحرمه
gender_hate,البويات بشكل عام كلهم ثقيلين دم وماينبلعون
identity-based,هزلت اجل فريق جابو الله المنشق الوحده ينافس النصر
identity-based,شكلك تحسبينه نادي قوي تراه ضعيف وجلدناهم مرات وم فازوا علينا بكل المواجهات
